Notikuma identifikators;TL kārtas numurs notikumā;TL veids;Marka;Modelis;Izlaiduma gads;Personas kārtas numurs notikumā;Statuss;Vecums (uz notikuma brīdi);Dzimums;Reibums;Miesas bojājumi
204979510;1;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
204979510;;;;;;1;Gājējs;29;V;Jā;viegli miesas bojājumi
205475014;1;Nedefinēts;;;;1;Vadītājs;;;Nē;bez miesas bojājumiem
206273891;1;Vieglā;MERCEDES BENZ;SPRINTER AUTO-FORM 4;2014;1;Vadītājs;43;V;Nē;bez miesas bojājumiem
206273891;1;Vieglā;MERCEDES BENZ;SPRINTER AUTO-FORM 4;2014;2;Pasažieris;41;S;Nē;bez miesas bojājumiem
206576253;1;Vieglā;CITROEN;JUMPER;2015;1;Vadītājs;38;V;Nē;bez miesas bojājumiem
206879080;1;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
206879080;;;;;;1;Gājējs;39;V;Nē;viegli miesas bojājumi
207594077;;;;;;1;Gājējs;29;V;Nē;viegli miesas bojājumi
208222351;1;Vieglā;CHRYSLER;NEON;2000;2;Vadītājs;;;Nē;bez miesas bojājumiem
208222351;1;Vieglā;CHRYSLER;NEON;2000;1;Pasažieris;49;S;Nē;viegli miesas bojājumi
209491149;1;Vieglā;VW;GOLF;2002;2;Vadītājs;18;V;Nē;bez miesas bojājumiem
209491149;2;Kravas;VW;AMAROK;2016;1;Vadītājs;64;V;Nē;bez miesas bojājumiem
210461891;1;Kravas;VOLVO;FH;2013;1;Vadītājs;52;V;Nē;bez miesas bojājumiem
210461891;2;Puspiekabe;SCHMITZ;SCS 24;2017;3;;;;Nē;
210461891;3;Kravas;MAN;;2008;2;Vadītājs;32;V;Nē;bez miesas bojājumiem
210461891;4;Piekabe;SCHMITZ;S01;2006;3;;;;Nē;
212226340;1;Vieglā;CHEVROLET;CAPTIVA;2006;1;Vadītājs;35;V;Nē;bez miesas bojājumiem
212786349;1;Nedefinēts;;;;1;Vadītājs;;V;Nē;bez miesas bojājumiem
214956207;1;Vieglā;AUDI;A2;2002;1;Vadītājs;45;S;Nē;bez miesas bojājumiem
214956207;;;;;;2;Gājējs;13;S;Nē;viegli miesas bojājumi
216469005;1;Vieglā;FORD;FOCUS;2000;1;Vadītājs;72;V;Nē;bez miesas bojājumiem
216937956;1;Velosipēds;;;;1;Velosipēda vadītājs;62;V;Jā;smagi miesas bojājumi
217645524;1;Vieglā;AUDI;A4 AVANT;1997;1;Vadītājs;41;S;Nē;bez miesas bojājumiem
217645524;2;Vieglā;AUDI;A3;2008;2;Vadītājs;21;V;Nē;bez miesas bojājumiem
217881313;1;Velosipēds;;;;2;Velosipēda vadītājs;;V;Nē;bez miesas bojājumiem
217881313;;;;;;1;Gājējs;56;S;Nē;viegli miesas bojājumi
218709546;1;Vieglā;MERCEDES BENZ;SPRINTER 315;2007;1;Vadītājs;42;V;Nē;bez miesas bojājumiem
218831294;1;Vieglā;VW;SHARAN;2007;1;Vadītājs;45;V;Nē;bez miesas bojājumiem
219785596;1;Kravas;NISSAN;PATROL;2002;1;Nenoskaidrots;;;Nē;bez miesas bojājumiem
219785596;2;Vieglā;AUDI;A6;2001;2;Nenoskaidrots;;V;Nē;bez miesas bojājumiem
220146875;1;Vieglā;;;;1;Vadītājs;;V;Nē;bez miesas bojājumiem
220372416;1;Vieglā;VW;GOLF;1998;2;Vadītājs;58;V;Nē;bez miesas bojājumiem
220372416;;;;;;1;Gājējs;96;S;Nē;viegli miesas bojājumi
220372424;1;Kravas;SCANIA;R 500;2011;2;Vadītājs;51;V;Nē;bez miesas bojājumiem
220372424;2;Piekabe;STAS;-;2010;2;Citi;51;V;Nē;bez miesas bojājumiem
220372424;;;;;;1;Īpašnieks;34;V;Nē;bez miesas bojājumiem
220372443;1;Vieglā;VW;PASSAT;2006;3;Pasažieris;36;S;Nē;viegli miesas bojājumi
220372443;1;Vieglā;VW;PASSAT;2006;2;Vadītājs;40;V;Nē;bez miesas bojājumiem
