Notikuma identifikators;Vērtība;Lauka nosaukums
220574421;Skaidrs;Laika apstākļi
220563305;Asfaltbetons;Seguma veids
220508530;Asfaltbetons;Seguma veids
220529872;Asfaltbetons;Seguma veids
220639152;Asfaltbetons;Seguma veids
220601188;Grants;Seguma veids
220487967;Asfaltbetons;Seguma veids
220474179;Asfaltbetons;Seguma veids
220649437;Saulains;Laika apstākļi
220656107;Skaidrs;Laika apstākļi
220467244;Asfaltbetons;Seguma veids
220492227;Grants;Seguma veids
220522160;Asfaltbetons;Seguma veids
220533498;Bruģis;Seguma veids
220546866;Asfaltbetons;Seguma veids
220554203;Asfaltbetons;Seguma veids
220604938;Asfaltbetons;Seguma veids
220607641;Asfaltbetons;Seguma veids
220638241;Asfaltbetons;Seguma veids
220542528;Asfaltbetons;Seguma veids
220549103;Grunts;Seguma veids
220516518;Asfaltbetons;Seguma veids
220535165;Asfaltbetons;Seguma veids
220505761;Asfaltbetons;Seguma veids
220435208;Asfaltbetons;Seguma veids
220523417;Asfaltbetons;Seguma veids
220532762;Asfaltbetons;Seguma veids
220473672;Asfaltbetons;Seguma veids
220480522;Bruģis;Seguma veids
220481835;Asfaltbetons;Seguma veids
220479386;Grants;Seguma veids
220490063;Asfaltbetons;Seguma veids
220478150;Asfaltbetons;Seguma veids
220474237;Asfaltbetons;Seguma veids
220484890;Asfaltbetons;Seguma veids
220523676;Asfaltbetons;Seguma veids
220635211;Asfaltbetons;Seguma veids
220627352;Asfaltbetons;Seguma veids
220609874;Asfaltbetons;Seguma veids
220637799;Asfaltbetons;Seguma veids
220623513;Asfaltbetons;Seguma veids
220503191;Asfaltbetons;Seguma veids
220695477;Asfaltbetons;Seguma veids
220686480;Dažāds;Seguma veids
220692892;Dažāds;Seguma veids
220472210;Asfaltbetons;Seguma veids
220484281;Asfaltbetons;Seguma veids
220489736;Bruģis;Seguma veids
220698548;Saulains;Laika apstākļi
220497251;Asfaltbetons;Seguma veids
220505504;Asfaltbetons;Seguma veids
220595272;Asfaltbetons;Seguma veids
220554596;Grunts;Seguma veids
220546770;Asfaltbetons;Seguma veids
220573519;Asfaltbetons;Seguma veids
220561745;Asfaltbetons;Seguma veids
220569716;Asfaltbetons;Seguma veids
220631995;Asfaltbetons;Seguma veids
220625516;Asfaltbetons;Seguma veids
220600213;Saulains;Laika apstākļi
220594947;Saulains;Laika apstākļi
220613294;Saulains;Laika apstākļi
220545016;Asfaltbetons;Seguma veids
220576153;Asfaltbetons;Seguma veids
220541932;Asfaltbetons;Seguma veids
220557854;Asfaltbetons;Seguma veids
220548682;Asfaltbetons;Seguma veids
220555399;Asfaltbetons;Seguma veids
220542174;Asfaltbetons;Seguma veids
220642533;Asfaltbetons;Seguma veids
220614448;Asfaltbetons;Seguma veids
220413474;Asfaltbetons;Seguma veids
220481434;Asfaltbetons;Seguma veids
220510286;Asfaltbetons;Seguma veids
220524517;Asfaltbetons;Seguma veids
220425775;Asfaltbetons;Seguma veids
220423377;Šķembas;Seguma veids
220458357;Asfaltbetons;Seguma veids
220454396;Asfaltbetons;Seguma veids
