Notikuma identifikators;Reģistra veids;Ieraksta numurs
206273891;CSNG;CSNg NK377736
206576253;CSNG;CSNg NK026758
206879080;CSNG;CSNg NK035253
207594077;CSNG;CSNg NK046020
208222351;CSNG;CSNg NK033882
209491149;CSNG;CSNg NK045034
210461891;CSNG;CSNg NK040046
212226340;CSNG;CSNg NK051617
212786349;CSNG;CSNg NK039125
214956207;CSNG;CSNg NK039262
216469005;CSNG;CSNg NK044909
216937956;CSNG;CSNg NK052255
217881313;CSNG;CSNg NK035267
217645524;CSNG;CSNg NK053896
218709546;CSNG;CSNg NK005749
218831294;CSNG;CSNg NK004346
219785596;CSNG;CSNg NK039828
220374549;CSNG;CSNg NK051314
220374568;CSNG;CSNg NK049395
220374621;CSNG;CSNg NK049347
220374668;CSNG;CSNg NK058418
220374451;CSNG;CSNg NK058670
220374817;CSNG;CSNg NK033480
220374980;CSNG;CSNg NK039516
220374989;CSNG;CSNg NK046981
220375039;CSNG;CSNg NK049549
220376172;CSNG;CSNg NK052201
220376222;CSNG;CSNg NK058589
220373885;CSNG;CSNg NK038875
220373911;CSNG;CSNg NK058612
220373912;CSNG;CSNg NK048057
220375243;CSNG;CSNg NK044619
220377175;CSNG;CSNg NK058719
220377261;CSNG;CSNg NK049945
220372798;CSNG;CSNg NK035120
220372882;CSNG;CSNg NK035182
220373005;CSNG;CSNg NK039058
220378659;CSNG;CSNg NK058166
220378805;CSNG;CSNg NK060361
220378911;CSNG;CSNg NK051943
220378946;CSNG;CSNg NK059361
220378996;CSNG;CSNg NK039299
220146875;CSNG;CSNg NK377197
220373518;CSNG;CSNg NK057844
220373538;CSNG;CSNg NK051972
220373548;CSNG;CSNg NK058121
220373731;CSNG;CSNg NK049594
220373791;CSNG;CSNg NK044333
220379111;CSNG;CSNg NK040039
220379156;CSNG;CSNg NK039626
220377302;CSNG;CSNg NK039606
220377328;CSNG;CSNg NK377242
220377458;CSNG;CSNg NK057835
220377480;CSNG;CSNg NK033358
220377577;CSNG;CSNg NK059557
220377592;CSNG;CSNg NK059094
220377630;CSNG;CSNg NK061253
220377670;CSNG;CSNg NK035231
220377932;CSNG;CSNg NK034570
220378138;CSNG;CSNg NK043783
220378154;CSNG;CSNg NK003680
220378172;CSNG;CSNg NK034743
220377846;CSNG;CSNg NK058197
220377858;CSNG;CSNg NK034954
220377892;CSNG;CSNg NK054151
220377909;CSNG;CSNg NK039525
220373025;CSNG;CSNg NK057893
220373038;CSNG;CSNg NK039520
220373048;CSNG;CSNg NK057838
220373235;CSNG;CSNg NK051176
220373268;CSNG;CSNg NK052589
220374021;CSNG;CSNg NK050712
220374029;CSNG;CSNg NK050443
220374124;CSNG;CSNg NK048127
220374143;CSNG;CSNg NK058448
220374190;CSNG;CSNg NK040063
220374194;CSNG;CSNg NK048913
220378547;CSNG;CSNg NK057923
220378578;CSNG;CSNg NK003598
220378618;CSNG;CSNg NK059632
220378620;CSNG;CSNg NK045003
220374670;CSNG;CSNg NK058827
220374733;CSNG;CSNg NK022996
220374753;CSNG;CSNg NK044840
220376479;CSNG;CSNg NK034548
220376502;CSNG;CSNg NK050744
220376511;CSNG;CSNg NK040232
